Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,igor.pejin+qgqkccvw@joinansel.com,366-16-0554,11/6/1982,Collier,Arno,,F,123 RandStreet,Dallas,Texas,17001,437.611.2634,787-913-1320,Class A,Title Test,Active,2/26/2025,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+udtkpydk@joinansel.com,204-69-3683,9/23/1963,Watsica-King,Emil,,F,123 RandStreet,Dallas,Texas,17001,937-344-7828 x8804,587-338-7584,Class A,Title Test,Active,4/25/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+cd5mdozy@joinansel.com,047-08-3049,8/9/1982,Walter,Shanna,,M,123 RandStreet,Dallas,Texas,17001,598-909-6210,627-440-6967,Class A,Title Test,Active,10/11/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+kcc4sp5w@joinansel.com,936-64-2076,11/10/1998,Schuster,Virginia,,M,123 RandStreet,Dallas,Texas,17001,908.350.7815 x579,211-073-1199,Class A,Title Test,Active,9/26/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+x6gamowr@joinansel.com,226-00-0984,11/29/1978,Beahan,Horace,,F,123 RandStreet,Dallas,Texas,17001,243.403.7655 x83550,369-943-3127,Class A,Title Test,Active,8/27/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+mrwfyqeg@joinansel.com,255-94-8751,7/2/1964,Farrell,Marilie,,M,123 RandStreet,Dallas,Texas,17001,(449) 314-4035,734-536-1606,Class A,Title Test,Active,10/4/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+of3cdjhn@joinansel.com,189-75-6738,8/5/1976,Gibson,Gussie,,M,123 RandStreet,Dallas,Texas,17001,261.670.6747 x6355,015-401-8441,Class A,Title Test,Active,7/19/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+8grn7pxk@joinansel.com,980-03-7394,1/11/1987,Carter,Trinity,,M,123 RandStreet,Dallas,Texas,17001,334-777-9474,091-522-8192,Class A,Title Test,Active,12/7/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+bibu4xxs@joinansel.com,263-06-6035,5/27/1946,Powlowski,Susie,,F,123 RandStreet,Dallas,Texas,17001,(537) 646-0786 x44801,162-026-2072,Class A,Title Test,Active,3/22/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+dnuir9yv@joinansel.com,119-93-9278,2/5/1967,Kautzer,Fanny,,M,123 RandStreet,Dallas,Texas,17001,(556) 958-0283 x880,566-994-8436,Class A,Title Test,Active,3/19/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
